profile_id,email,first_name,last_name,timezone,email_consent,email_consent_date,sms_consent,sms_consent_date,is_subscriber,first_order_date,last_onetime_order_date,last_subscription_order_date,orders_count,ltv_usd,engagement_tier,suppressed
AB-10000,noemi.ali0@example.com,Noemi,Ali,America/New_York,true,2025-03-20,false,,false,2025-03-27,2026-06-20,,1,79.26,unengaged_12m,false
AB-10001,noemi.rivera1@example.com,Noemi,Rivera,America/Los_Angeles,true,2025-10-27,false,,false,2025-11-13,2026-01-04,,1,52.97,engaged_365,false
AB-10002,maya.haddad2@example.com,Maya,Haddad,America/New_York,true,2025-10-06,false,,false,2025-10-15,2025-01-18,,5,326.15,unengaged_12m,false
AB-10003,priya.novak3@example.com,Priya,Novak,America/New_York,true,2026-05-05,true,2026-05-15,false,2026-05-15,2025-09-23,,1,47.61,engaged_365,false
AB-10004,june.diaz4@example.com,June,Diaz,America/Chicago,true,2026-01-16,false,,false,2026-02-02,2026-06-02,,1,26.9,engaged_30,false
AB-10005,nora.weber5@example.com,Nora,Weber,America/New_York,true,2025-10-27,false,,false,2025-11-03,2026-05-19,,1,60.27,engaged_30,false
AB-10006,june.braun6@example.com,June,Braun,America/Chicago,true,2025-12-16,false,,false,2025-12-16,2025-10-07,,2,112.9,engaged_30,false
AB-10007,wren.okafor7@example.com,Wren,Okafor,America/New_York,true,2024-11-05,false,,false,2024-12-14,2026-01-04,,12,900.11,engaged_30,false
AB-10008,olivia.rossi8@example.com,Olivia,Rossi,America/Los_Angeles,true,2025-05-26,true,2025-06-30,false,2025-06-30,2025-02-15,,1,41.15,engaged_90,false
AB-10009,noemi.patel9@example.com,Noemi,Patel,America/Los_Angeles,true,2026-01-25,false,,true,2026-02-26,2025-08-08,2026-07-22,6,423.2,unengaged_12m,true
AB-10010,jade.kim10@example.com,Jade,Kim,America/Denver,true,2025-02-05,false,,false,2025-02-11,2025-06-03,,1,90.84,engaged_30,false
AB-10011,maya.rivera11@example.com,Maya,Rivera,America/New_York,true,2025-10-05,false,,false,2025-10-18,2025-05-30,,1,42.49,engaged_90,false
AB-10012,emma.okafor12@example.com,Emma,Okafor,America/Los_Angeles,true,2026-01-08,true,2026-02-11,false,2026-02-11,2026-04-02,,1,74.06,engaged_30,false
AB-10013,iris.chen13@example.com,Iris,Chen,America/Los_Angeles,true,2025-10-09,false,,false,2025-10-31,2025-01-14,,2,82.98,engaged_90,false
AB-10014,cora.vega14@example.com,Cora,Vega,America/Los_Angeles,true,2025-10-09,false,,false,2025-11-13,2025-09-04,,4,377.91,unengaged_12m,true
AB-10015,cora.lopez15@example.com,Cora,Lopez,America/New_York,true,2026-03-05,false,,false,2026-03-25,2025-04-16,,1,57.11,engaged_30,false
AB-10016,dana.rossi16@example.com,Dana,Rossi,America/New_York,true,2025-11-05,false,,false,2025-11-22,2026-05-31,,1,52.28,engaged_30,false
AB-10017,lena.rossi17@example.com,Lena,Rossi,America/Chicago,true,2025-01-01,false,,false,2025-01-10,2025-11-16,,1,46.67,engaged_30,false
AB-10018,lena.chen18@example.com,Lena,Chen,America/New_York,true,2025-06-27,false,,false,2025-08-26,2026-06-26,,1,70.88,unengaged_12m,true
AB-10019,ava.fischer19@example.com,Ava,Fischer,America/Los_Angeles,true,2024-07-12,false,,false,2024-08-26,2025-09-06,,1,61.12,engaged_90,false
AB-10020,mara.silva20@example.com,Mara,Silva,America/Denver,true,2025-07-11,false,,false,2025-08-31,2026-01-26,,2,98.37,engaged_365,false
AB-10021,tessa.haddad21@example.com,Tessa,Haddad,America/Chicago,true,2024-12-11,false,,false,2024-12-29,2026-01-07,,3,260.09,engaged_90,false
AB-10022,june.vega22@example.com,June,Vega,America/Denver,true,2025-03-12,false,,false,2025-04-17,2026-05-16,,2,60.19,unengaged_12m,false
