profile_id,email,first_name,last_name,timezone,account_type,is_gift_purchaser_2025Q4,first_order_date,last_order_date,orders_count,ltv_usd,engagement_tier,sms_consent,created_source
MT-20000,sam.haas20000@example.com,Sam,Haas,America/Chicago,consumer,false,2022-08-18,2024-04-18,1,250.35,unengaged_12m,false,checkout
MT-20001,marcus.ramirez20001@example.com,Marcus,Ramirez,America/Los_Angeles,consumer,false,2023-09-06,2026-06-08,1,174.85,engaged_90,false,checkout
MT-20002,nina.nowak20002@example.com,Nina,Nowak,America/Los_Angeles,consumer,false,2025-09-06,2024-04-21,1,232.39,engaged_365,false,checkout
MT-20003,marcus.nowak20003@example.com,Marcus,Nowak,America/Los_Angeles,consumer,false,2025-02-23,2024-10-02,1,322.4,engaged_365,false,checkout
MT-20004,harper.duval20004@example.com,Harper,Duval,America/New_York,consumer,false,2022-07-30,2024-03-11,1,104.05,engaged_365,false,checkout
MT-20005,jordan.sy20005@example.com,Jordan,Sy,America/Los_Angeles,consumer,false,2023-04-25,2025-07-02,3,614.63,engaged_90,false,checkout
MT-20006,nina.kowalski20006@example.com,Nina,Kowalski,America/New_York,consumer,false,2025-11-16,2026-08-07,1,368.56,engaged_365,false,checkout
MT-20007,yuki.ramirez20007@example.com,Yuki,Ramirez,America/New_York,consumer,false,2022-11-22,2025-11-22,1,354.06,engaged_365,false,checkout
MT-20008,casey.petrov20008@example.com,Casey,Petrov,America/Phoenix,consumer,false,2024-07-12,2024-07-10,1,316.87,unengaged_12m,false,checkout
MT-20009,alex.torres20009@example.com,Alex,Torres,America/Los_Angeles,consumer,false,2023-05-28,2026-07-11,1,304.09,engaged_90,false,checkout
MT-20010,sam.haas20010@example.com,Sam,Haas,America/Chicago,consumer,false,2023-08-19,2025-09-04,1,302.0,engaged_365,false,checkout
MT-20011,devon.macleod20011@example.com,Devon,MacLeod,America/Los_Angeles,consumer,false,2023-07-19,2025-03-21,1,383.46,engaged_30,true,checkout
MT-20012,harper.petrov20012@example.com,Harper,Petrov,America/New_York,consumer,true,2024-06-28,2025-12-04,4,428.48,engaged_90,false,checkout
MT-20013,devon.petrov20013@example.com,Devon,Petrov,America/Denver,consumer,false,2023-10-06,2024-10-08,2,692.48,engaged_365,false,checkout
MT-20014,casey.nowak20014@example.com,Casey,Nowak,America/Los_Angeles,consumer,false,2024-08-02,2026-05-11,1,346.28,unengaged_12m,false,checkout
